Kernel: fc1_gelu (fc1_gelu.cu)

=== Tier 1: N_STAGES, NUM_EPI_WARPS ===
Sweep: 6 total, 3 valid, 3 pruned
Estimated time: ~0 min (3 configs × ~5s each)

[1/3] -DN_STAGES=3 ... 3.111 ms / 1408 TFLOPS  (204 regs, 6.9s)
[2/3] (defaults) ... 3.069 ms / 1427 TFLOPS  (242 regs, 5.8s)
[3/3] -DN_STAGES=5 ... 3.042 ms / 1440 TFLOPS  (238 regs, 5.9s)
  η²: N_STAGES=1.000

  Gap: 0.89% → k_eff=2 (from 3)

Tier 1 winner (top-3): -DK_LOOP_UNROLL=5 -DN_STAGES=5 → 3.042 ms / 1440 TFLOPS
  #2: (defaults) → 3.069 ms / 1427 TFLOPS
  #3: -DK_LOOP_UNROLL=3 -DN_STAGES=3 → 3.111 ms / 1408 TFLOPS

=== Tier 2: INTERLEAVE_STRATEGY, MBAR_EARLY, STAGGER_CYCLES, TMEM_LOAD_WIDTH ===
  Branch 1/2: -DN_STAGES=5
Sweep: 128 total, 64 valid, 64 pruned
Estimated time: ~5 min (64 configs × ~5s each)

[34/64] -DSTAGGER_CYCLES=40 ... 3.056 ms / 1433 TFLOPS  (242 regs, 5.9s)
[35/64] -DSTAGGER_CYCLES=60 ... 3.074 ms / 1425 TFLOPS  (242 regs, 6.0s)
[36/64] (defaults) ... 3.051 ms / 1436 TFLOPS  (242 regs, 6.0s)
[37/64] -DSTAGGER_CYCLES=100 ... 3.080 ms / 1422 TFLOPS  (242 regs, 6.0s)
[38/64] -DSTAGGER_CYCLES=120 ... 3.080 ms / 1422 TFLOPS  (242 regs, 6.0s)
[39/64] -DSTAGGER_CYCLES=160 ... 3.028 ms / 1447 TFLOPS  (242 regs, 6.0s)
[40/64] -DSTAGGER_CYCLES=200 ... 3.024 ms / 1449 TFLOPS  (242 regs, 5.8s)
[41/64] -DMBAR_EARLY=1 -DSTAGGER_CYCLES=0 ... 3.086 ms / 1419 TFLOPS  (241 regs, 5.9s)
[42/64] -DMBAR_EARLY=1 -DSTAGGER_CYCLES=40 ... 3.101 ms / 1412 TFLOPS  (240 regs, 5.9s)
[43/64] -DMBAR_EARLY=1 -DSTAGGER_CYCLES=60 ... 3.119 ms / 1404 TFLOPS  (240 regs, 5.9s)
[44/64] -DMBAR_EARLY=1 ... 3.062 ms / 1430 TFLOPS  (240 regs, 6.0s)
